seq_name	res	n_pixels	lmbda	bytes	rate_bpp	psnr_db
kodim01	768x512	393216	22	117532	2.391194661	39.65101347
kodim01	768x512	393216	23	108922	2.216023763	38.87835223
kodim01	768x512	393216	24	100936	2.053548177	38.12885172
kodim01	768x512	393216	25	92758	1.887166341	37.3267938
kodim01	768x512	393216	26	84562	1.720418294	36.50734901
kodim01	768x512	393216	27	77169	1.570007324	35.70176952
kodim01	768x512	393216	28	69690	1.41784668	34.87132932
kodim01	768x512	393216	29	62570	1.272989909	34.04819555
kodim01	768x512	393216	30	56292	1.145263672	33.27438887
kodim01	768x512	393216	31	49887	1.014953613	32.44802266
kodim01	768x512	393216	32	43883	0.892801921	31.65903244
kodim01	768x512	393216	33	38479	0.782857259	30.88849589
kodim01	768x512	393216	34	33388	0.679280599	30.15573236
kodim01	768x512	393216	35	28812	0.586181641	29.43557517
kodim01	768x512	393216	36	24698	0.502482096	28.7313271
kodim01	768x512	393216	37	21071	0.428690592	28.10478555
kodim01	768x512	393216	38	17733	0.360778809	27.46425375
kodim01	768x512	393216	39	14797	0.301045736	26.86320972
kodim01	768x512	393216	40	12350	0.251261393	26.28977845
kodim01	768x512	393216	41	10201	0.207539876	25.71931811
kodim01	768x512	393216	42	8325	0.169372559	25.22162719
kodim01	768x512	393216	43	6824	0.138834635	24.70069053
kodim01	768x512	393216	44	5587	0.113667806	24.24696984
kodim01	768x512	393216	45	4489	0.091328939	23.82372181
kodim01	768x512	393216	46	3670	0.074666341	23.38210995
kodim01	768x512	393216	47	2974	0.060506185	22.96770497
kodim01	768x512	393216	48	2413	0.049092611	22.58342202
kodim01	768x512	393216	49	1982	0.040323893	22.159229
kodim01	768x512	393216	50	1619	0.032938639	21.83157167
kodim01	768x512	393216	51	1356	0.027587891	21.51086791
kodim02	768x512	393216	22	61527	1.25177002	39.77577552
kodim02	768x512	393216	23	54276	1.104248047	39.15243993
kodim02	768x512	393216	24	48114	0.978881836	38.54424482
kodim02	768x512	393216	25	42060	0.855712891	37.86717709
kodim02	768x512	393216	26	36314	0.738810221	37.21407018
kodim02	768x512	393216	27	31478	0.640421549	36.5888237
kodim02	768x512	393216	28	27188	0.553141276	36.00148261
kodim02	768x512	393216	29	23159	0.471171061	35.37211775
kodim02	768x512	393216	30	19853	0.403910319	34.81317796
kodim02	768x512	393216	31	16810	0.342000326	34.25778859
kodim02	768x512	393216	32	13988	0.284586589	33.67857151
kodim02	768x512	393216	33	11797	0.240010579	33.15841902
kodim02	768x512	393216	34	9793	0.199239095	32.61634766
kodim02	768x512	393216	35	8004	0.162841797	32.12217162
