seq_name	res	n_pixels	lmbda	bytes	rate_bpp	psnr_db
kodim01	768x512	393216	3	10159	0.206685384	20.22169113
kodim01	768x512	393216	4	11742	0.238891602	21.0174848
kodim01	768x512	393216	5	13358	0.271769206	22.0530337
kodim01	768x512	393216	6	14976	0.3046875	22.88635591
kodim01	768x512	393216	7	16656	0.338867188	23.60826756
kodim01	768x512	393216	8	18352	0.373372396	24.06547229
kodim01	768x512	393216	9	20023	0.407368978	24.44185788
kodim01	768x512	393216	10	21619	0.439839681	24.77412509
kodim01	768x512	393216	11	23200	0.472005208	25.07838769
kodim01	768x512	393216	12	24592	0.500325521	25.30571751
kodim01	768x512	393216	13	26074	0.530476888	25.57298831
kodim01	768x512	393216	14	27381	0.557067871	25.80256429
kodim01	768x512	393216	15	28756	0.585042318	26.05621202
kodim01	768x512	393216	16	30063	0.611633301	26.29373173
kodim01	768x512	393216	17	31317	0.637145996	26.48355202
kodim01	768x512	393216	18	32611	0.663472493	26.67172759
kodim01	768x512	393216	19	33743	0.686503092	26.79609537
kodim01	768x512	393216	20	34875	0.709533691	26.94208634
kodim01	768x512	393216	21	36181	0.736104329	27.10644238
kodim01	768x512	393216	22	37345	0.75978597	27.22301074
kodim01	768x512	393216	23	38426	0.781778971	27.38293858
kodim01	768x512	393216	24	39477	0.803161621	27.54450496
kodim01	768x512	393216	25	40533	0.824645996	27.66243784
kodim01	768x512	393216	26	41532	0.844970703	27.77772264
kodim01	768x512	393216	27	42501	0.864685059	27.9076007
kodim01	768x512	393216	28	43590	0.88684082	28.00257112
kodim01	768x512	393216	29	44399	0.903299967	28.11613281
kodim01	768x512	393216	30	45334	0.922322591	28.21113601
kodim01	768x512	393216	31	46230	0.940551758	28.3459883
kodim01	768x512	393216	32	47182	0.959920247	28.44543412
kodim01	768x512	393216	33	48252	0.981689453	28.54600389
kodim01	768x512	393216	34	48902	9.95E-01	28.62016114
kodim01	768x512	393216	35	49925	1.015726725	28.73124669
kodim01	768x512	393216	36	50948	1.04E+00	28.82528124
kodim01	768x512	393216	37	51455	1.046854655	28.88538146
kodim01	768x512	393216	38	52585	1.07E+00	28.98290695
kodim01	768x512	393216	39	53320	1.084798177	29.05061291
kodim01	768x512	393216	40	53801	1.09E+00	29.1203516
kodim01	768x512	393216	41	55054	1.120076497	29.23604577
kodim01	768x512	393216	42	55562	1.13E+00	29.27591697
kodim01	768x512	393216	43	56284	1.145100911	29.35291062
kodim01	768x512	393216	44	57438	1.17E+00	29.47242831
kodim01	768x512	393216	45	58005	1.180114746	29.52487203
kodim01	768x512	393216	46	59006	1.20E+00	29.61511602
kodim01	768x512	393216	47	59550	1.211547852	29.67959285
kodim01	768x512	393216	48	60285	1.226501465	29.72679839
kodim01	768x512	393216	49	61438	1.24995931	29.81930851
kodim01	768x512	393216	50	61794	1.26E+00	29.86791295
kodim01	768x512	393216	51	62156	1.264567057	29.91839861
