,seq_name,rate_bpp,rate_latent_bpp,rate_nn_bpp,psnr_db,mse,option_selected,anchor
0,kodim01,2.547250747680664,2.547250747680664,0.0,39.98677369989455,0.0001003049110295251,all_upsampling,hypernet
1,kodim02,1.5487674077351887,1.5487674077351887,0.0,40.14512098535815,9.671357838669792e-05,all_upsampling,hypernet
2,kodim03,1.0333327452341716,1.0333327452341716,0.0,41.10687743535928,7.75017833802849e-05,all_upsampling,hypernet
3,kodim04,1.5571964581807454,1.5571964581807454,0.0,40.368541417759616,9.186400711769238e-05,all_upsampling,hypernet
4,kodim05,2.5440613428751626,2.5440613428751626,0.0,39.677867185727386,0.00010769929940579459,all_upsampling,hypernet
5,kodim06,2.0301243464152017,2.0301243464152017,0.0,40.27340161804244,9.389865590492263e-05,all_upsampling,hypernet
6,kodim07,1.2712818781534831,1.2712818781534831,0.0,40.794409308154435,8.328341937158257e-05,all_upsampling,hypernet
7,kodim08,2.725403149922689,2.725403149922689,0.0,39.47028139553283,0.00011297217133687809,all_upsampling,hypernet
8,kodim09,1.1040093104044597,1.1040093104044597,0.0,40.41649371741889,9.08552756300196e-05,all_upsampling,hypernet
9,kodim10,1.2526030540466309,1.2526030540466309,0.0,40.22122911362467,9.503347973804921e-05,all_upsampling,hypernet
10,kodim11,1.825098196665446,1.825098196665446,0.0,40.43355210792035,9.049911022884771e-05,all_upsampling,hypernet
11,kodim12,1.224961519241333,1.224961519241333,0.0,40.67873102612062,8.553155930712819e-05,all_upsampling,hypernet
12,kodim13,3.3498687744140625,3.3498687744140625,0.0,39.41788662970736,0.00011434336192905903,all_upsampling,hypernet
13,kodim14,2.2313105265299478,2.2313105265299478,0.0,39.7507514004058,0.00010590694728307426,all_upsampling,hypernet
14,kodim15,1.3978726069132488,1.3978726069132488,0.0,40.549940020180884,8.81060041137971e-05,all_upsampling,hypernet
15,kodim16,1.4982611338297527,1.4982611338297527,0.0,41.00228338085184,7.93909712228924e-05,all_upsampling,hypernet
16,kodim17,1.3418013254801433,1.3418013254801433,0.0,40.46452878107526,8.985590829979628e-05,all_upsampling,hypernet
17,kodim18,2.3289658228556314,2.3289658228556314,0.0,39.276606297754675,0.00011812423326773569,all_upsampling,hypernet
18,kodim19,1.7581008275349934,1.7581008275349934,0.0,40.19920972994734,9.551653784001246e-05,all_upsampling,hypernet
19,kodim20,1.175769567489624,1.175769567489624,0.0,41.05663310065867,7.840362377464771e-05,all_upsampling,hypernet
20,kodim21,1.7530630429585774,1.7530630429585774,0.0,40.27189425703294,9.393125219503418e-05,all_upsampling,hypernet
21,kodim22,1.942756175994873,1.942756175994873,0.0,39.481668058540734,0.00011267636000411585,all_upsampling,hypernet
22,kodim23,0.9947435855865479,0.9947435855865479,0.0,41.16588174175299,7.64559445087798e-05,all_upsampling,hypernet
23,kodim24,2.1582889556884766,2.1582889556884766,0.0,38.67966744450291,0.000135529218823649,all_upsampling,hypernet
