,seq_name,rate_bpp,rate_latent_bpp,rate_nn_bpp,psnr_db,mse,option_selected,anchor
0,kodim01,0.3643593390782674,0.3386126756668091,0.025746663411458332,26.91267621387256,0.002035787096247077,all_upsampling,hypernet
1,kodim02,0.10308053096135457,0.10308053096135457,0.0,30.2855878284199,0.0009363563731312752,no_delta_noupsampling,hypernet
2,kodim03,0.11990137894948323,0.11990137894948323,0.0,31.401563689570015,0.0007241750718094409,no_delta_noupsampling,hypernet
3,kodim04,0.1449712117513021,0.1449712117513021,0.0,30.312995580740626,0.0009304657578468323,no_delta_noupsampling,hypernet
4,kodim05,0.500943660736084,0.48891464869181317,0.012029012044270834,27.353512729729246,0.0018392836209386587,only_arm_noupsampling,hypernet
5,kodim06,0.2864187955856323,0.2743897835413615,0.012029012044270834,28.00325696309358,0.0015837049577385187,only_arm_noupsampling,hypernet
6,kodim07,0.20231986045837402,0.20231986045837402,0.0,30.905401191786993,0.000811820151284337,no_delta_noupsampling,hypernet
7,kodim08,0.5244383811950684,0.5124093691507975,0.012029012044270834,26.910755908819457,0.0020366874523460865,only_arm_noupsampling,hypernet
8,kodim09,0.15120919545491537,0.15120919545491537,0.0,31.298961159184664,0.0007414874853566289,no_delta_noupsampling,hypernet
9,kodim10,0.15045646826426187,0.15045646826426187,0.0,31.103573048146266,0.0007756086415611207,no_delta_noupsampling,hypernet
10,kodim11,0.22160041332244873,0.22160041332244873,0.0,28.866631554262312,0.001298185670748353,no_delta_noupsampling,hypernet
11,kodim12,0.10625896851221721,0.10625896851221721,0.0,30.875872430806748,0.0008173587266355753,no_delta_noupsampling,hypernet
12,kodim13,0.5772099892298381,0.5651809771855673,0.012029012044270834,25.957241190611935,0.002536739455536008,only_arm_noupsampling,hypernet
13,kodim14,0.3090689579645793,0.3090689579645793,0.0,28.08036658718652,0.001555834198370576,no_delta_noupsampling,hypernet
14,kodim15,0.15058701237042746,0.15058701237042746,0.0,30.25449087904668,0.0009430850623175502,no_delta_noupsampling,hypernet
15,kodim16,0.1353133718172709,0.1353133718172709,0.0,29.564017790914193,0.0011056003859266639,no_delta_noupsampling,hypernet
16,kodim17,0.17031580209732056,0.17031580209732056,0.0,30.813733528548997,0.0008291375706903636,no_delta_noupsampling,hypernet
17,kodim18,0.3463674783706665,0.3463674783706665,0.0,28.109876556067775,0.0015452982624992728,no_delta_noupsampling,hypernet
18,kodim19,0.2145240306854248,0.20249501864115396,0.012029012044270834,29.18944539750919,0.0012051897356286645,only_arm_noupsampling,hypernet
19,kodim20,0.14463935295740762,0.14463935295740762,0.0,31.142183475927737,0.0007687437464483082,no_delta_noupsampling,hypernet
20,kodim21,0.2728627522786458,0.2728627522786458,0.0,28.99563602449124,0.0012601909693330526,no_delta_noupsampling,hypernet
21,kodim22,0.1847896377245585,0.1847896377245585,0.0,28.829170643904675,0.0013094318564981222,no_delta_noupsampling,hypernet
22,kodim23,0.1200510064760844,0.1200510064760844,0.0,32.504866113554556,0.0005617114948108792,no_delta_noupsampling,hypernet
23,kodim24,0.3650168975194295,0.3650168975194295,0.0,28.199727857320873,0.0015136559959501028,no_delta_noupsampling,hypernet
